Date,Open,High,Low,Close,Volume
2017-04-06,81659.06209616084,81856.96403503418,80566.74156951904,81319.51632046513,169.0
2017-04-07,80713.07462310791,82244.02430514526,80155.4269065857,81002.6994500123,445.0
2017-04-08,80713.07462310791,82244.02430514526,80155.4269065857,81002.6994500123,0.0
2017-04-09,80713.07462310791,82244.02430514526,80155.4269065857,81002.6994500123,0.0
2017-04-10,80498.8742747046,81073.3602495119,80119.37380114757,80395.68710379023,182.0
2017-04-11,81022.25462341309,82420.92155456543,80802.34959411621,82087.73296752945,401.0
2017-04-12,82403.24649810791,83197.36967416387,82079.61584472656,82422.63865304552,492.0
2017-04-13,82901.85314941406,83140.33003063966,82374.90647888184,82940.55157470703,915.0
2017-04-14,82901.85314941406,83140.33003063966,82374.90647888184,82940.55157470703,0.0
2017-04-15,82901.85314941406,83140.33003063966,82374.90647888184,82940.55157470703,0.0
2017-04-16,82901.85314941406,83140.33003063966,82374.90647888184,82940.55157470703,0.0
2017-04-17,83237.78346547857,83499.44946842268,82580.49705902115,83106.59874917474,73.0
2017-04-18,82696.00527429208,83495.48405535892,82137.2597002564,83196.20094518177,394.0
2017-04-19,83189.73376464844,83282.08471679688,82179.36650085449,82739.99918536376,194.0
2017-04-20,82720.18483277969,82964.57114489749,82388.91473410651,82870.60374198481,127.0
2017-04-21,82691.71922701411,83294.77765075676,82563.4015115723,83243.29029321298,474.0
2017-04-22,82691.71922701411,83294.77765075676,82563.4015115723,83243.29029321298,0.0
2017-04-23,82691.71922701411,83294.77765075676,82563.4015115723,83243.29029321298,0.0
2017-04-24,82416.37859344482,82510.32389570307,81440.69652557373,82467.71437756345,605.0
2017-04-25,82254.51540568843,82338.34645649418,81026.81458099373,81491.9816555176,356.0
2017-04-26,81429.11961364746,81483.93338012695,80683.5290110046,81216.13150314335,1156.0
2017-04-27,81094.12662179582,81303.55350781232,80740.4045891175,80902.06663186662,206.0
2017-04-28,81131.52792883292,81550.6571115721,81004.03573211655,81106.36134497076,85.0
2017-04-29,81131.52792883292,81550.6571115721,81004.03573211655,81106.36134497076,0.0
2017-04-30,81131.52792883292,81550.6571115721,81004.03573211655,81106.36134497076,0.0
2017-05-01,81552.6701538451,81594.4113976378,80461.85930999741,80534.93150675297,34.0
2017-05-02,80705.19227622077,80710.84686279297,80189.4002885744,80552.31681613158,90.0
2017-05-03,80524.70063319709,80603.52306811512,79351.11584790051,79856.84918383788,195.0
2017-05-04,79543.08797615953,79657.15313720703,78532.42873565666,78753.56387710571,72.0
2017-05-05,78779.16279602051,79437.93910296634,78583.17561816424,78595.41689062491,16.0
2017-05-06,78779.16279602051,79437.93910296634,78583.17561816424,78595.41689062491,0.0
2017-05-07,78779.16279602051,79437.93910296634,78583.17561816424,78595.41689062491,0.0
2017-05-08,78712.99035644531,79407.89811706543,78556.32037353516,78796.5938947387,43.0
2017-05-09,78903.20783745125,79322.87783496082,78120.89814758301,78215.2477198448,55.0
2017-05-10,78878.73422132805,78916.43556579575,78540.1950639952,78686.27441326901,23.0
2017-05-11,78626.75428771973,78961.96508551016,78367.14692291245,78925.28557952866,13.0
2017-05-12,79070.91925048828,79173.64837265015,78617.53380215447,78918.22960583493,29.0
2017-05-13,79070.91925048828,79173.64837265015,78617.53380215447,78918.22960583493,0.0
2017-05-14,79070.91925048828,79173.64837265015,78617.53380215447,78918.22960583493,0.0
2017-05-15,78849.69007492065,79183.7141387146,78584.54587936401,78833.72783409432,13.0
2017-05-16,78792.72534273192,79364.13423778675,78733.29962744145,79087.29995727539,20.0
2017-05-17,79468.0549697876,80815.45325048827,79255.9142060699,80354.25191879272,26.0
2017-05-18,80595.8113485109,82076.39923095703,80005.2806564942,80396.69206564315,43.0
2017-05-19,81263.2705004029,81438.0265017394,80836.72631994635,81264.02553043328,14.0
2017-05-20,81263.2705004029,81438.0265017394,80836.72631994635,81264.02553043328,0.0
2017-05-21,81263.2705004029,81438.0265017394,80836.72631994635,81264.02553043328,0.0
2017-05-22,80670.55872823857,81441.21492202766,80659.54790942371,81250.22280372307,14.0
2017-05-23,81367.12535476685,81862.69983183593,80663.94649962895,80934.85205689445,20.0
2017-05-24,81230.15658900142,81691.59511464834,80842.58756627329,81262.22669092286,14.0
2017-05-25,81410.42051365972,81488.1378545165,80936.30931457505,81325.73839771003,11.0
2017-05-26,81817.87639049068,81924.98294055182,81646.11906957999,81817.7506672265,271457.0
2017-05-27,81817.87639049068,81924.98294055182,81646.11906957999,81817.7506672265,0.0
2017-05-28,81817.87639049068,81924.98294055182,81646.11906957999,81817.7506672265,0.0
2017-05-29,81817.87639049068,81924.98294055182,81646.11906957999,81817.7506672265,0.0
2017-05-30,81785.96021497808,82153.76449584961,81177.621710415,81416.30037439335,129819.0
2017-05-31,81570.36013465095,82269.72573283687,80997.06076812744,82194.8578491211,2712.0
2017-06-01,81786.63848876953,81901.47129980475,81175.35372968763,81721.62566375732,825.0
2017-06-02,81568.7069014404,82489.10851287842,80852.98153686523,82190.5547545068,1732.0
2017-06-03,81568.7069014404,82489.10851287842,80852.98153686523,82190.5547545068,0.0
2017-06-04,81568.7069014404,82489.10851287842,80852.98153686523,82190.5547545068,0.0
2017-06-05,82387.51542209461,82567.85397338867,82047.25,82393.31808312982,433.0
2017-06-06,82322.99613269046,83540.39685058594,82246.09860009514,83286.87746201176,942.0
2017-06-07,83208.74073369149,83404.94842529297,82577.9200714659,83108.88768199459,641.0
2017-06-08,82812.53793916013,82979.38003369141,81412.01456268318,82217.07536908798,319.0
2017-06-09,82092.93831229862,82245.64635125734,81146.85030717775,81493.38269042969,467.0
2017-06-10,82092.93831229862,82245.64635125734,81146.85030717775,81493.38269042969,0.0
2017-06-11,82092.93831229862,82245.64635125734,81146.85030717775,81493.38269042969,0.0
2017-06-12,81527.03298039548,81850.81442340091,81145.4371526856,81507.71673731692,255.0
2017-06-13,81496.52696911618,81702.37986807246,81033.98214951158,81604.99113313481,150.0
2017-06-14,81673.58031226322,82268.17863464355,80460.33490698226,81914.22681188956,336.0
2017-06-15,81132.80245468765,81831.66708319075,80206.75004013069,80348.4141337499,743.0
2017-06-16,80874.88030055165,81293.23384371959,80581.22382848524,80958.23693847656,34.0
2017-06-17,80874.88030055165,81293.23384371959,80581.22382848524,80958.23693847656,0.0
2017-06-18,80874.88030055165,81293.23384371959,80581.22382848524,80958.23693847656,0.0
2017-06-19,80703.47573658451,80729.33238061517,79903.84302282706,80120.25167901628,108.0
2017-06-20,80103.88062967546,80521.57690048218,79904.32899856567,80029.11437225342,75.0
2017-06-21,80285.500155597,80526.60037994385,79955.20416259766,80237.22815931402,205.0
2017-06-22,80739.91337585449,80949.47428536974,80321.54311269522,80522.10243733879,156.0
2017-06-23,80743.7515258789,82274.55647949222,80512.11685705557,81139.21533979475,269.0
2017-06-24,80743.7515258789,82274.55647949222,80512.11685705557,81139.21533979475,0.0
2017-06-25,80743.7515258789,82274.55647949222,80512.11685705557,81139.21533979475,0.0
2017-06-26,81277.22425864264,81280.37783518061,79946.62167016603,80383.86191854253,194.0
2017-06-27,80634.95292845462,80776.15339797363,80235.96347335819,80294.71337698493,111.0
